,id,Hull Volume,Hull Volume 1-2,Hull Volume 1-3,Hull Volume 2-3,Hull Volume Per Atom,Hull Volume 1-2 Per Atom,Hull Volume 1-3 Per Atom,Hull Volume 2-3 Per Atom,Unique 1,Unique 2,Unique 3,Clusters,Clusters Per Atom,Clusters 1-2,Clusters 1-3,Clusters 2-3,Clusters 1-2 Per Atom,Clusters 1-3 Per Atom,Clusters 2-3 Per Atom
0,1041,457.0047298989534,114.69370739898156,100.45344578426175,23.673523560151114,5.712559123736918,1.4336713424872696,1.2556680723032718,0.29591904450188894,40,4,40,30,0.375,14,40,5,0.175,0.5,0.0625
0,1042,586.5131428966163,107.26573034110982,98.7507855083146,87.2499604637028,7.331414286207703,1.3408216292638726,1.2343848188539326,1.0906245057962851,78,78,73,43,0.5375,62,1,1,0.775,0.0125,0.0125
0,1043,151.04366580316602,63.91891749910476,43.333830211069596,17.25389962037835,5.034788860105534,2.1306305833034918,1.4444610070356532,0.5751299873459449,30,30,10,21,0.7,29,24,17,0.9666666666666667,0.8,0.5666666666666667
0,1044,521.5086449956802,167.85546272558915,115.75075804734777,25.997773418901616,6.518858062446003,2.0981932840698643,1.446884475591847,0.3249721677362702,80,80,78,18,0.225,50,52,12,0.625,0.65,0.15
0,1045,316.98240687102657,79.00879707095936,61.19373840432993,44.09197628891642,7.924560171775664,1.975219926773984,1.5298434601082482,1.1022994072229104,39,40,39,25,0.625,35,36,33,0.875,0.9,0.825
0,1046,566.3431959689169,104.71518595397306,96.48880009833205,85.50511490852162,7.079289949611462,1.3089398244246633,1.2061100012291506,1.0688139363565203,80,73,77,49,0.6125,54,1,53,0.675,0.0125,0.6625
0,1047,186.40694890486188,73.17353761725991,49.6051653399384,20.054280645713987,6.213564963495396,2.43911792057533,1.65350551133128,0.6684760215237996,30,30,9,18,0.6,29,24,18,0.9666666666666667,0.8,0.6
0,1048,636.2613178311611,108.45800586014359,93.65408117147953,97.86397137492571,7.953266472889514,1.355725073251795,1.1706760146434942,1.2232996421865714,73,61,61,48,0.6,52,57,56,0.65,0.7125,0.7
0,1049,498.94274032046843,163.2896252852996,112.59753349158741,25.14378335273483,6.236784254005856,2.041120316066245,1.4074691686448426,0.3142972919091854,79,80,76,12,0.15,48,53,12,0.6,0.6625,0.15
0,105,416.89872805450705,109.86936998524592,94.87179946185914,21.62652383465394,5.211234100681338,1.373367124815574,1.1858974932732393,0.27033154793317427,40,4,38,46,0.575,16,40,5,0.2,0.5,0.0625
0,1050,590.8267138971534,103.23214811792874,92.7386021271975,90.61166848645617,7.385333923714417,1.2904018514741094,1.1592325265899688,1.132645856080702,78,70,55,54,0.675,48,1,62,0.6,0.0125,0.775
0,1051,170.21945241798952,69.02659827316394,46.79504218368487,18.791262168066588,5.673981747266317,2.3008866091054645,1.5598347394561622,0.6263754056022196,30,30,10,20,0.6666666666666666,29,24,18,0.9666666666666667,0.8,0.6
0,1052,558.9445002283749,174.8344328106088,120.57560464519307,27.53413958758392,6.986806252854686,2.18543041013261,1.5071950580649134,0.344176744844799,79,80,72,12,0.15,51,53,12,0.6375,0.6625,0.15
0,1053,502.9551320957513,164.10378151473657,113.16008309630081,25.297386339136985,6.286939151196892,2.0512972689342073,1.4145010387037602,0.3162173292392123,79,80,72,10,0.125,47,53,12,0.5875,0.6625,0.15
0,1054,505.3515648117285,121.47844418812187,106.95923975752062,25.764901052559107,6.316894560146606,1.5184805523515235,1.3369904969690078,0.32206126315698885,40,4,40,19,0.2375,15,40,6,0.1875,0.5,0.075
0,1055,76.52138109452594,52.48863939327069,21.24174828599512,8.954060174674934,3.8260690547262968,2.6244319696635343,1.0620874142997558,0.4477030087337467,20,20,2,12,0.6,19,6,3,0.95,0.3,0.15
0,1056,675.4550345110389,112.86755953654377,99.13614886633565,101.29031426178904,8.443187931387985,1.410844494206797,1.2392018608291955,1.266128928272363,71,66,37,48,0.6,53,51,52,0.6625,0.6375,0.65
0,1057,578.1323704729868,106.21061698925827,97.81238005882064,86.51338133471808,7.226654630912336,1.3276327123657283,1.2226547507352579,1.0814172666839759,80,76,74,48,0.6,64,1,56,0.8,0.0125,0.7
0,1058,538.5904557899797,97.05440969288627,86.57009363742937,86.22196172936042,6.732380697374746,1.2131801211610784,1.082126170467867,1.0777745216170052,79,74,66,51,0.6375,35,64,59,0.4375,0.8,0.7375
0,1059,599.3146085385821,108.86298040031568,100.18974470693233,88.4367282439776,7.4914326067322765,1.360787255003946,1.2523718088366542,1.10545910304972,79,78,76,51,0.6375,55,1,53,0.6875,0.0125,0.6625
0,106,231.79176169044894,64.6942992217981,49.38780071145682,35.547834987431415,5.794794042261223,1.6173574805449527,1.2346950177864204,0.8886958746857854,40,40,38,23,0.575,35,34,28,0.875,0.85,0.7
0,1060,455.3893726040357,114.67650614914407,100.23762680802605,23.539813722981982,5.692367157550446,1.433456326864301,1.2529703351003256,0.29424767153727477,40,4,40,42,0.525,15,40,5,0.1875,0.5,0.0625
0,1061,568.1224609427289,100.57044711978908,90.21767504003337,88.60192354642355,7.101530761784112,1.2571305889973634,1.1277209380004172,1.1075240443302943,78,75,60,46,0.575,50,1,55,0.625,0.0125,0.6875
0,1062,527.0013726858958,123.5091565162949,109.74873508666785,26.988332131355005,6.587517158573698,1.543864456453686,1.3718591885833482,0.33735415164193755,40,4,34,10,0.125,7,40,5,0.0875,0.5,0.0625
0,1063,448.5583723213497,153.10147357143666,105.55323991960759,23.112730132767616,5.606979654016871,1.9137684196429583,1.3194154989950948,0.28890912665959523,79,80,71,8,0.1,47,51,12,0.5875,0.6375,0.15
0,1064,233.1506737902742,83.60004965171133,54.59792096508443,22.910096168551846,5.828766844756855,2.090001241292783,1.3649480241271106,0.5727524042137961,40,40,31,16,0.4,30,34,14,0.75,0.85,0.35
0,1065,151.51203942513126,64.06742904283637,43.43439102271061,17.28081436883714,5.050401314171042,2.1355809680945455,1.4478130340903534,0.5760271456279047,30,30,9,19,0.6333333333333333,29,24,14,0.9666666666666667,0.8,0.4666666666666667
0,1066,154.51957097029467,64.85004451022807,43.96485865311479,17.54251178185132,5.150652365676489,2.161668150340936,1.4654952884371597,0.5847503927283774,30,30,9,18,0.6,29,24,15,0.9666666666666667,0.8,0.5
0,1067,517.0389980407026,166.99764681714927,115.15809366853595,25.816491185055717,6.462987475508783,2.087470585214366,1.4394761708566994,0.32270613981319646,79,80,74,12,0.15,50,49,12,0.625,0.6125,0.15
0,1068,478.4501452883786,159.38626906676612,109.89960577712074,24.263951063163752,5.980626816104733,1.9923283633345765,1.3737450722140092,0.3032993882895469,79,80,73,15,0.1875,47,53,12,0.5875,0.6625,0.15
0,1069,457.4431832895548,115.58419519424967,100.53481403964902,23.45015266701529,5.718039791119435,1.444802439928121,1.2566851754956128,0.2931269083376911,40,4,40,5,0.0625,7,40,5,0.0875,0.5,0.0625
0,107,225.99827184230034,63.633054059370956,48.54855893762734,34.93605677639188,5.649956796057508,1.590826351484274,1.2137139734406834,0.873401419409797,39,40,38,32,0.8,35,36,29,0.875,0.9,0.725
0,1070,502.3215220713362,164.04767432264674,113.12083040223301,25.250645345324592,6.279019025891702,2.050595929033084,1.4140103800279127,0.3156330668165574,78,80,74,14,0.175,50,50,12,0.625,0.625,0.15
0,1071,432.06128470098594,112.65169075057887,97.02148625765558,22.139274306671616,5.400766058762324,1.408146134382236,1.2127685782206947,0.2767409288333952,42,4,38,10,0.125,8,40,5,0.1,0.5,0.0625
0,1072,477.8756427089297,117.28315872846383,103.27807149073463,24.69373918303087,5.9734455338616215,1.466039484105798,1.2909758936341829,0.30867173978788587,40,4,40,17,0.2125,12,40,5,0.15,0.5,0.0625
0,1073,732.6147922929412,119.14798588740913,103.14132369789132,107.30085210252027,9.157684903661764,1.4893498235926141,1.2892665462236415,1.3412606512815033,71,67,36,32,0.4,53,50,60,0.6625,0.625,0.75
0,1074,596.2801290608674,108.48343861343466,99.85618370282221,88.18395482409862,7.453501613260842,1.3560429826679332,1.2482022962852777,1.1022994353012328,79,78,76,41,0.5125,62,1,1,0.775,0.0125,0.0125
0,1075,637.7400243313283,108.62638484083108,97.43105586599691,95.64953207805,7.971750304141604,1.3578298105103885,1.2178881983249614,1.195619150975625,72,70,41,43,0.5375,55,1,59,0.6875,0.0125,0.7375
0,1076,179.12939120075964,146.43402123054565,27.705060946986556,16.9200651262874,4.478234780018991,3.6608505307636414,0.6926265236746639,0.423001628157185,40,40,37,16,0.4,39,32,17,0.975,0.8,0.425
0,1077,558.8798111777103,99.47526962083982,85.88592915157264,89.83981464218701,6.985997639721378,1.2434408702604978,1.073574114394658,1.1229976830273376,77,76,66,48,0.6,45,57,57,0.5625,0.7125,0.7125
0,1078,571.0430757101406,100.91486839857542,90.99971489226566,87.3649691651511,7.138038446376757,1.2614358549821927,1.1374964361533206,1.0920621145643887,80,70,54,37,0.4625,53,1,1,0.6625,0.0125,0.0125
0,1079,584.088224930266,106.96236890526171,98.47531301077225,87.0171306416311,7.301102811628326,1.3370296113157714,1.2309414126346532,1.0877141330203888,79,77,73,51,0.6375,59,1,53,0.7375,0.0125,0.6625
0,108,652.8227659487933,115.43635266035811,106.04430913924715,93.08439907954302,8.160284574359917,1.4429544082544763,1.3255538642405893,1.1635549884942877,78,76,78,43,0.5375,60,1,53,0.75,0.0125,0.6625
0,1080,670.4595774580471,112.31037255971849,100.8022819125644,98.73594522165277,8.38074471822559,1.403879656996481,1.260028523907055,1.2341993152706596,73,76,38,58,0.725,55,1,57,0.6875,0.0125,0.7125
0,1081,170.21945241798952,69.02659827316394,46.79504218368487,18.791262168066588,5.673981747266317,2.3008866091054645,1.5598347394561622,0.6263754056022196,30,30,10,17,0.5666666666666667,29,24,17,0.9666666666666667,0.8,0.5666666666666667
0,1082,703.6476621293498,115.98648432724116,101.28802348321372,104.29676212435339,8.795595776616873,1.4498310540905144,1.2661002935401715,1.3037095265544174,65,62,30,51,0.6375,50,51,52,0.625,0.6375,0.65
0,1083,147.6200271438077,62.99441957717914,42.707292339145745,16.967703463365172,4.920667571460257,2.0998139859059712,1.4235764113048581,0.5655901154455057,30,30,9,19,0.6333333333333333,29,24,19,0.9666666666666667,0.8,0.6333333333333333
0,1084,201.97149902899142,76.96954243171211,52.23523742793142,21.255170213771038,6.73238330096638,2.5656514143904037,1.7411745809310475,0.708505673792368,30,30,10,19,0.6333333333333333,29,24,13,0.9666666666666667,0.8,0.43333333333333335
0,1085,566.8978060112529,104.78775632408313,96.54608368902042,85.52568291925517,7.086222575140662,1.3098469540510391,1.2068260461127553,1.0690710364906897,80,72,76,48,0.6,57,60,55,0.7125,0.75,0.6875
0,1086,638.0361199090598,108.65996274270918,97.82119510212245,94.22470944964284,7.975451498863248,1.3582495342838647,1.2227649387765305,1.1778088681205356,65,66,41,53,0.6625,54,62,65,0.675,0.775,0.8125
0,1087,574.4555878561025,105.75318597488496,97.37693104669651,86.0884838202356,7.180694848201282,1.321914824686062,1.2172116380837064,1.076106047752945,80,79,76,52,0.65,54,1,55,0.675,0.0125,0.6875
0,1088,152.77506044505887,64.383652416652,43.64878309271523,17.39790368321797,5.092502014835295,2.1461217472217333,1.454959436423841,0.5799301227739323,30,30,9,19,0.6333333333333333,29,24,17,0.9666666666666667,0.8,0.5666666666666667
0,1089,57.26845040960936,43.36564743234045,18.377240158254814,6.795538073077734,2.863422520480468,2.1682823716170225,0.9188620079127408,0.3397769036538867,20,20,2,14,0.7,19,8,3,0.95,0.4,0.15
0,109,256.7935481509795,69.01917415370113,52.99667620799161,38.15297945752353,6.419838703774488,1.7254793538425282,1.3249169051997902,0.9538244864380883,40,39,40,28,0.7,35,38,33,0.875,0.95,0.825
0,1090,56.37038642553748,42.93739381133782,18.178270426398495,6.723837760293427,2.818519321276874,2.146869690566891,0.9089135213199248,0.33619188801467137,20,20,2,15,0.75,19,6,3,0.95,0.3,0.15
0,1091,146.1563164481899,62.60804159448174,42.44540070909954,16.838797313937913,4.871877214939663,2.086934719816058,1.4148466903033179,0.5612932437979304,30,30,9,21,0.7,29,24,18,0.9666666666666667,0.8,0.6
0,1092,556.0940691928438,99.14604422405083,89.1950303946706,86.43959141898608,6.951175864910548,1.2393255528006353,1.1149378799333824,1.0804948927373261,76,74,61,47,0.5875,53,1,1,0.6625,0.0125,0.0125
0,1093,464.3918711036705,156.51369851514116,107.91416997056439,23.70503375984047,5.804898388795881,1.9564212314392644,1.3489271246320549,0.2963129219980059,78,80,71,13,0.1625,46,51,12,0.575,0.6375,0.15
0,1094,500.5884468014937,163.66154812108985,112.85430712567891,25.195158470406344,6.257355585018671,2.045769351513623,1.4106788390709863,0.3149394808800793,78,80,77,11,0.1375,48,53,12,0.6,0.6625,0.15
0,1095,611.2682376189671,184.535539820135,127.27709037364016,29.569593487478418,7.640852970237089,2.3066942477516874,1.590963629670502,0.3696199185934802,80,80,76,14,0.175,52,53,12,0.65,0.6625,0.15
0,1096,540.3528236392121,171.34541566091,118.16411788802188,26.788670777540123,6.7544102954901515,2.141817695761375,1.4770514736002736,0.33485838471925156,80,80,76,13,0.1625,51,52,12,0.6375,0.65,0.15
0,1097,460.39336417123354,115.02453884768748,100.9128834540439,23.867055654853413,5.754917052140419,1.4378067355960935,1.2614110431755488,0.29833819568566766,40,4,40,17,0.2125,14,40,7,0.175,0.5,0.0875
0,1098,697.9895833372155,120.8411001127385,110.8897964891529,96.99817512161388,8.724869791715195,1.5105137514092313,1.3861224561144112,1.2124771890201735,78,78,78,44,0.55,50,1,51,0.625,0.0125,0.6375
0,1099,59.03581722690734,44.193974400514186,18.645879735928578,7.003914698956897,2.951790861345367,2.209698720025709,0.9322939867964288,0.35019573494784484,20,20,2,16,0.8,19,5,3,0.95,0.25,0.15
0,11,373.50757631375404,121.98383077159133,52.75262334925421,37.99995010995291,6.225126271895901,2.0330638461931887,0.8792103891542368,0.6333325018325485,60,58,58,33,0.55,45,41,37,0.75,0.6833333333333333,0.6166666666666667
0,110,606.6759997673065,105.06996977180216,94.99127445198906,90.78347650275366,7.583449997091331,1.313374622147527,1.1873909306498631,1.1347934562844206,73,76,45,44,0.55,51,57,48,0.6375,0.7125,0.6
0,1100,439.4245910510009,151.3226279867555,104.32431222703002,22.704944517472597,5.4928073881375115,1.8915328498344437,1.3040539028378753,0.2838118064684075,80,80,72,16,0.2,46,51,12,0.575,0.6375,0.15
0,1101,500.9421451967943,163.6957645854873,112.87817082003943,25.22032241839672,6.261776814959928,2.046197057318591,1.410977135250493,0.315254030229959,79,80,75,8,0.1,48,51,12,0.6,0.6375,0.15
0,1102,178.85768643155578,159.99336315877756,27.976117951884834,16.13710260093896,4.471442160788895,3.999834078969439,0.6994029487971208,0.403427565023474,40,40,40,14,0.35,39,35,16,0.975,0.875,0.4
0,1103,495.8267704834939,91.84743570326465,82.88910555555323,79.36843992421404,6.197834631043674,1.148092946290808,1.0361138194444153,0.9921054990526755,75,78,59,37,0.4625,50,1,46,0.625,0.0125,0.575
0,1104,528.0257625257559,95.78151632461605,86.50874381772319,82.79581012675472,6.600322031571949,1.1972689540577006,1.0813592977215398,1.034947626584434,76,79,55,35,0.4375,50,1,40,0.625,0.0125,0.5
0,1105,147.85046224136576,63.06808744926848,42.757176434132205,16.981045529694487,4.9283487413788585,2.102269581642283,1.4252392144710735,0.5660348509898162,30,30,10,23,0.7666666666666667,29,24,15,0.9666666666666667,0.8,0.5
0,1106,469.7067361061635,157.47077473652024,108.57513476967084,23.957950673767208,5.871334201327043,1.968384684206503,1.3571891846208854,0.2994743834220901,79,80,71,9,0.1125,45,53,12,0.5625,0.6625,0.15
0,1107,590.0851130500067,107.71681161957792,99.1390329159688,87.52066920263066,7.376063913125084,1.346460145244724,1.23923791144961,1.0940083650328831,78,77,75,40,0.5,60,1,1,0.75,0.0125,0.0125
0,1108,194.79444750551573,155.99910781342217,30.531870418353023,18.653049283078598,4.869861187637893,3.8999776953355543,0.7632967604588256,0.46632623207696494,35,40,38,17,0.425,39,18,30,0.975,0.45,0.75
0,1109,450.4164432847954,153.6563816393494,105.93889864117774,23.135943237781945,5.630205541059942,1.9207047704918676,1.3242362330147217,0.28919929047227433,80,80,71,24,0.3,46,49,12,0.575,0.6125,0.15
0,111,463.9591396611266,115.65380672715574,101.40341353123718,23.986122897556992,5.799489245764082,1.4456725840894467,1.2675426691404648,0.2998265362194624,40,4,42,18,0.225,7,40,6,0.0875,0.5,0.075
0,1110,653.8127012593261,110.44375279814635,98.68906641209097,97.79046718641584,8.172658765741577,1.3805469099768293,1.2336133301511372,1.222380839830198,70,75,38,57,0.7125,52,56,61,0.65,0.7,0.7625
0,1111,143.12737533064436,126.72481704973542,24.840161821598482,15.134287461361208,3.578184383266109,3.1681204262433855,0.621004045539962,0.37835718653403017,40,40,38,8,0.2,39,20,31,0.975,0.5,0.775
0,1112,519.9984215784581,94.80814676908108,85.09595734473001,83.48613586732148,6.499980269730726,1.1851018346135134,1.063699466809125,1.0435766983415184,74,74,68,53,0.6625,51,1,55,0.6375,0.0125,0.6875
0,1113,602.2099353074256,104.55317707297435,90.35403354385157,94.33702011831346,7.527624191342819,1.3069147134121795,1.1294254192981446,1.1792127514789184,79,70,67,35,0.4375,53,56,56,0.6625,0.7,0.7
