,Al CN Avg,Al CN Max,Al CN Min,Al-Al NN1 BL Avg,Al-Al NN1 BL Max,Al-Al NN1 BL Min,Al-Ga NN1 BL Avg,Al-Ga NN1 BL Max,Al-Ga NN1 BL Min,Al-In NN1 BL Avg,Al-In NN1 BL Max,Al-In NN1 BL Min,Al-O NN1 BL Avg,Al-O NN1 BL Max,Al-O NN1 BL Min,Ga CN Avg,Ga CN Max,Ga CN Min,Ga-Al NN1 BL Avg,Ga-Al NN1 BL Max,Ga-Al NN1 BL Min,Ga-Ga NN1 BL Avg,Ga-Ga NN1 BL Max,Ga-Ga NN1 BL Min,Ga-In NN1 BL Avg,Ga-In NN1 BL Max,Ga-In NN1 BL Min,Ga-O NN1 BL Avg,Ga-O NN1 BL Max,Ga-O NN1 BL Min,In CN Avg,In CN Max,In CN Min,In-Al NN1 BL Avg,In-Al NN1 BL Max,In-Al NN1 BL Min,In-Ga NN1 BL Avg,In-Ga NN1 BL Max,In-Ga NN1 BL Min,In-In NN1 BL Avg,In-In NN1 BL Max,In-In NN1 BL Min,In-O NN1 BL Avg,In-O NN1 BL Max,In-O NN1 BL Min,O CN Avg,O CN Max,O CN Min,O-Al NN1 BL Avg,O-Al NN1 BL Max,O-Al NN1 BL Min,O-Ga NN1 BL Avg,O-Ga NN1 BL Max,O-Ga NN1 BL Min,O-In NN1 BL Avg,O-In NN1 BL Max,O-In NN1 BL Min,O-O NN1 BL Avg,O-O NN1 BL Max,O-O NN1 BL Min,id,xx,xy,xz,yx,yy,yz,zx,zy,zz
0,,,,,,,,,,,,,,,,6.0,6.0,6.0,,,,3.0587879589577556,3.37798820458147,2.884494216029146,3.30453227757335,3.4585281327316344,3.0104345546379596,2.137317520273484,2.137318806610977,2.137315590869211,6.0,6.0,6.0,,,,3.35271991014589,3.8097917345224057,3.010434554637959,3.06899847851939,3.37798820458147,3.0104334115423166,2.137317887771656,2.137318806610977,2.137315590869211,4.0,4.0,4.0,,,,2.5086409144127524,4.003836130344201,2.082011136217693,2.2327904628494286,3.9294251847674118,2.0820116354260696,3.0052799282641383,3.005291841159937,3.005265622539251,1007,10.72369787,0.11779963,0.01907191,-2.73169155,4.61355299,-0.01758772,-0.02567257,0.03935409,14.27959703
0,6.0,6.0,6.0,2.7658625961987386,2.857676638615047,2.707435481649847,3.2152300629417265,3.7475303630262555,2.7074354816498496,,,,1.956560287969285,1.9565602999912672,1.9565602654796788,6.0,6.0,6.0,2.977541906272504,3.075034842137108,2.782556060132449,3.5506275164481385,5.23701158604472,2.707435481649848,,,,1.956560286933654,1.956560299991267,1.9565602654796788,,,,,,,,,,,,,,,,4.0,4.0,4.0,1.9532877229722796,1.9762585355161324,1.8975639950306111,2.204100925735129,3.5008922079640543,1.8974623326323898,,,,2.7072520290600353,2.7072597946082233,2.7072452267857754,1008,4.87405322,0.0122844,7.805e-05,-2.44763918,4.21462395,-0.00233984,-0.00327143,0.00869194,13.25147234
0,3.6,4.0,3.0,3.2345340771061637,3.284393073539035,3.166810593494636,3.318642658701445,3.4411018700153795,3.206212424906829,,,,1.9129399020424471,1.9705978513316085,1.826452978108705,3.3333333333333335,4.0,3.0,3.3092258961628542,3.3747150464316333,3.206212424906829,4.101640588416216,5.779210306637654,3.2628557293054965,,,,1.8745012691830063,1.9705978513316083,1.826452978108705,,,,,,,,,,,,,,,,2.3333333333333335,3.0,2.0,2.037091729292057,3.3367241944824997,1.8155441586404626,2.3645380714300503,3.380635656424954,1.815544158640462,,,,2.818952671606219,2.8593588058366213,2.75842718052754,1009,12.13604744,5.7e-06,0.01337079,-1.23e-05,2.99565267,3.039e-05,-1.38537249,-4.7e-07,5.57978201
0,6.0,6.0,6.0,,,,5.839175186075128,5.839175186075128,5.839175186075128,3.633514966712115,3.633514966712115,3.633514966712115,2.211331219403318,2.211331219403318,2.211331219403318,6.0,6.0,6.0,5.839175186075128,5.839175186075128,5.839175186075128,,,,3.633515132289812,3.633515132289812,3.633515132289812,2.2113330557872914,2.2113330557872914,2.2113330557872914,6.0,6.0,6.0,5.191640187297375,8.852390721049183,3.377188160978265,5.191641573005584,8.852390721049181,3.377194466352248,3.6304166618532743,3.6812099755470884,3.583586341227311,2.203831441326175,2.2113330557872923,2.183205663423683,4.0,4.0,4.0,4.797092715122036,6.760708373270664,2.154694081043358,4.797092458498183,6.760721888698334,2.1546719737056383,2.2037141789229175,2.2208374513057136,2.183546503132174,3.0668561630932456,3.066860757421227,3.066850742724838,101,10.22183714,-0.00501184,0.00828603,0.00515849,10.22180133,0.00449135,-0.00839027,-0.00458925,10.2220817
0,5.157894736842105,6.0,4.0,3.264997597075182,3.362789651945239,3.119559353436813,3.3000271060531468,3.554703079241639,2.9990071324900227,3.3107544073612387,3.6341107465804297,3.0367818886374045,1.9846641026550333,2.0539673548828743,1.8677409932851112,5.2,6.0,4.0,3.302480890103722,3.4239524142580664,3.2506594968593485,3.9032865603157036,5.060174751848411,3.36478151724687,3.2285232555232932,3.4131218793761824,3.1144460108157297,1.9864008148303696,2.053967354882874,1.8677426853934331,4.5,6.0,4.0,3.313298501348176,3.4429547184534703,3.1596705651759485,3.4873591162640847,5.297308731886413,3.0273886421860423,3.316478892056979,3.63411074658043,3.114446010815728,1.9229518107528394,2.013632307876772,1.8677426853934331,3.6666666666666665,5.0,3.0,2.0035836849016246,2.3240151933890667,1.864592732391111,2.9585971946235268,4.875475653507228,1.833084457537069,2.59148483416708,4.605406111282055,1.8217331993164114,2.9260634509161974,2.9776473456298653,2.8719334081888306,1010,10.24402765,-0.03222245,-0.03963791,0.02739401,8.7734314,-0.01820625,0.03620692,0.01885027,9.4014169
0,5.25,6.0,4.0,3.8330069740489803,6.521155544594795,3.338285032665375,4.541563987065231,6.3085296067366725,3.272065043079132,3.3775045688719825,3.6750219468822296,3.279520491091617,2.0246701889245804,2.0801323832677787,1.9322331983525836,4.888888888888889,6.0,4.0,3.517932351530117,4.986866778291556,3.180150670007953,3.4129955133955416,3.571340977538661,3.3438319111473547,3.401223044026228,3.554210034318642,3.3126430453748736,1.9979661694260038,2.0801323832677787,1.9322331983525838,4.933333333333334,6.0,4.0,3.413101673502043,4.487395127720616,3.209967320250763,3.5756344190195293,6.0187370744911,3.209966241133813,3.4149713142515012,3.6296006644698457,3.2855722242161693,2.0012528179796742,2.0801323832677787,1.9322331983525833,3.3333333333333335,4.0,3.0,2.789118494057677,4.889517014258765,1.8957445828438064,2.928265631121848,6.267330864008666,1.8957445828438058,2.20134383890857,3.653742602739264,1.8957445828438055,3.001042458715277,3.033199647649154,2.9403937355960927,1011,24.53802174,1.053e-05,-0.05110735,-1.236e-05,6.36030134,7.04e-06,-1.62131648,-6.65e-06,6.09466819
0,4.857142857142857,6.0,4.0,3.4788735075515738,3.604865649908158,3.228337209771307,3.6297978037786485,5.175257923538947,3.011080265505525,3.3406480468690702,3.5851440254311218,3.011144838346842,1.9778999610127173,2.0745714928049157,1.9056877946214366,5.5,6.0,4.0,3.3662473816173226,3.5951344529910987,3.249142437408638,3.368975158962244,3.4916207450932153,3.2550760198695228,3.3582078727162643,3.474184508304568,3.010422033531808,2.0326121411228186,2.0749211774187644,1.9056878429656654,5.6,6.0,4.0,3.3690282634916846,3.5800832456453318,3.288018010028032,4.172991022185533,5.686524968493038,3.0110155143114166,3.1740408508402935,3.500411048332312,3.011101730339863,2.0410043212209112,2.074921226047385,1.9056878677345832,3.5,4.0,3.0,2.058540483789466,3.583700989572383,1.8822134446347865,2.8969747032692066,5.162256777152791,1.9160622669465712,2.4666952358979644,4.625027914872263,1.882213444634786,2.973467790170145,2.993026382580273,2.9668480208058776,1012,10.28974823,0.03921871,-0.11928667,5.13366479,3.02936875,-0.04259481,-0.11078183,-0.08267403,14.67920801
0,6.0,6.0,6.0,3.3000468124394304,3.527232007797432,3.0775423752048137,3.3222277990502516,3.4600815577896933,3.255372441810361,,,,2.00309542089164,2.008784787864601,1.9831992655839714,6.0,6.0,6.0,3.3021915895764145,3.5274711520165725,3.067719877892217,3.2909257715635047,3.3745923969262797,3.190869406052127,,,,2.0021092141197734,2.008784787864601,1.9831992655839714,,,,,,,,,,,,,,,,4.0,4.0,4.0,2.5680088132293277,4.219183725156888,1.957226867793866,2.039414796279488,3.8406314393794645,1.9572554458560893,,,,2.7859324898383453,2.7859499931293485,2.785912080884238,1013,9.28574433,0.02614851,-0.03232196,-0.02516074,9.28556656,0.02029226,0.03158795,-0.02106261,9.2852162
0,6.0,6.0,6.0,3.4977864607205804,3.733009931828189,3.258118554269927,4.645795196033662,6.423559390466357,3.263818775018727,3.486137846509249,3.5713860213642272,3.412039680817186,2.1231548985664777,2.1258602938854523,2.098825475415733,6.0,6.0,6.0,3.5961982135655752,3.615743616516763,3.576652810614388,5.613486128795019,5.613486128795019,5.613486128795019,3.448471729212521,3.4652110777561784,3.4317323806688633,2.125856011204278,2.1258570750974606,2.125854947311096,6.0,6.0,6.0,3.4944377484118734,3.729332114347985,3.3252392574051544,4.0441287932041865,6.161569590923399,3.2466193055471497,3.4966546326843635,3.6237733930757385,3.3749406795704404,2.116393985838431,2.125860293885452,2.0988156221434378,4.0,4.0,4.0,2.4993546750934783,4.282666678176587,2.0713901740450087,3.8997656480411114,6.142914622802698,2.0713815089459318,2.1569509237163387,4.075630513740914,2.0850901052973674,2.948313987248945,2.9483202612017476,2.948307434130892,1014,9.82687709,0.0065017,-0.00584664,-0.00629994,9.82662895,0.00952973,0.0055963,-0.0097115,9.82689619
0,6.0,6.0,6.0,,,,5.110901809177947,5.110901809177947,5.110901809177947,3.633515132289812,3.633515132289812,3.633515132289812,2.2113330557872914,2.2113330557872914,2.2113330557872914,6.0,6.0,6.0,5.110901809177947,5.110901809177947,5.110901809177947,,,,3.6335160664171764,3.6335160664171764,3.6335160664171764,2.2113309363304245,2.2113309363304245,2.2113309363304245,6.0,6.0,6.0,5.21591735223549,8.852390721049181,3.377194466352248,5.215917269715033,8.852390721049181,3.377194466352247,3.6302613274282587,3.655195852085416,3.6108178459995006,2.2038314507619385,2.2113330557872923,2.183205663423683,4.0,4.0,4.0,4.797092458498183,6.760721888698334,2.1546719737056383,4.797092548951411,6.760631293506533,2.1546783249509733,2.2037142547416733,2.220837642839406,2.183553128110414,3.0668561630932456,3.066860757421227,3.066850742724838,1015,10.22183714,-0.00501184,0.00828603,0.00515849,10.22180133,0.00449135,-0.00839027,-0.00458925,10.2220817
0,5.666666666666667,6.0,5.0,3.815267872653106,6.518716274224447,3.445907120202607,3.4960550836614392,3.5960906229126937,3.396047061136432,3.5266003606044336,3.596449390242064,3.446119818664462,2.0965813832091067,2.173888479398532,1.9419672098358518,5.4,6.0,5.0,3.6207380376780476,4.87763358945609,3.2961026318147972,3.52856736238112,3.596230327965201,3.4459630849360385,3.6207186398827766,4.877633589456089,3.4161390594900327,2.0347357148100844,2.173888479398532,1.9419672098358514,5.461538461538462,6.0,5.0,3.5206349738018097,3.596449390242064,3.295937912527408,3.477245719917901,3.5961181723705566,3.2960202721711025,3.5026134957681454,3.5961181723705566,3.396132456019816,2.0490077848230923,2.173888479398532,1.9419672098358514,3.6666666666666665,4.0,3.0,2.7977884437910956,4.960090384905099,1.9028735838520154,2.478895414298924,4.299797765338389,1.9028735838520152,2.41900862348818,4.262754708985002,1.9028735838520154,2.955870946530195,2.9641212815972064,2.939370297238873,1016,6.59193673,0.05216562,0.02862051,-3.3403565,5.68279939,0.02522774,-0.10634371,-0.17631679,24.40872027
0,6.0,6.0,6.0,3.259457881569121,3.3953040038783127,3.154507577506212,3.250973718799921,3.392335143831383,3.0368492308483144,,,,1.9762605289835338,1.9832754182146497,1.9580239076542305,6.0,6.0,6.0,3.2566632534780475,3.3895192948140505,3.1545678818569423,3.272130057477355,3.392376402506111,3.1653919342878356,,,,1.9778622311800886,1.9832754182146501,1.958023907654231,,,,,,,,,,,,,,,,4.0,4.0,4.0,2.0922187917473694,3.899167685892574,1.9326166312108606,2.211028522398437,3.9098474380477373,1.93245714048606,,,,2.7505581010242977,2.7505730699611344,2.750540039379192,1017,9.1678977,0.02774968,-0.03316988,-0.02708204,9.16748544,0.01996742,0.03252655,-0.02053844,9.16741519
0,6.0,6.0,6.0,,,,3.492758170783368,3.492758170783368,3.492758170783368,3.4983806903450607,3.4983806903450607,3.4983806903450607,2.127384327163294,2.127384327163294,2.127384327163294,6.0,6.0,6.0,4.831880100299972,6.497773305636793,3.2488866528183973,3.4589671038136216,3.6027348782721544,3.3501752465625243,3.528435080242206,3.614615716285073,3.4259108174537864,2.11836135898723,2.127386161924798,2.1003076380554013,6.0,6.0,6.0,5.185916750016231,8.516151185904203,3.2660580691237753,3.5360996834605616,3.7208355058657068,3.4144132096645294,3.4688487135911634,3.6388361277532626,3.3566198203117024,2.122305724678531,2.127386161924798,2.100307638055401,4.0,4.0,4.0,4.614974145375835,6.504324174407964,2.072834170579095,2.367707225543259,4.207879371173145,2.072827236423341,2.2883489201338327,4.209201527455733,2.072827236423341,2.9504251026636865,2.9504348315369797,2.9504146666258553,1018,9.83387836,0.00886546,-0.01031264,-0.0081935,9.83387357,0.01199986,0.00987689,-0.01249425,9.8337434
0,5.533333333333333,6.0,5.0,3.289605429071698,3.320613496342629,3.2550692336932263,4.976280083874439,9.450873481944445,3.0454684819035287,,,,1.9309694866117797,2.0263997955273214,1.8219062832183592,5.0,5.0,5.0,3.290041828071618,3.290041828071618,3.2900418280716175,6.823651117370964,6.823651117370965,6.823651117370964,,,,1.8219062832183601,1.8219062832183603,1.8219062832183597,,,,,,,,,,,,,,,,3.6666666666666665,4.0,3.0,1.9211378964324117,2.0263997955273223,1.7583129116382157,4.652481911576715,9.152281441643375,1.7581238122371807,,,,2.765588612306233,2.7736278911192342,2.749510071109478,1019,6.07832587,0.39238843,0.09410289,-3.37990931,5.06755841,-0.01018823,-0.35017494,-0.19051829,23.39072353
0,,,,,,,,,,,,,,,,6.0,6.0,6.0,,,,3.3716745149176437,3.419730959467949,3.328716980114804,4.0063470879939675,6.707726074854171,3.134136699890885,2.0477651336659126,2.0522794972116585,2.0261357309863417,6.0,6.0,6.0,,,,3.361808430245549,3.361809882593835,3.3618071162713523,4.743270109105119,4.743394672626343,4.743145545583893,2.0261785577552085,2.0261821906270434,2.02617454282228,4.0,4.0,4.0,,,,2.0481858130142006,2.0523041716483537,2.0457202133853407,3.3989331425834433,5.630847278525242,2.0260604462200114,2.8462522943058737,2.8462739567144393,2.8462320442575706,102,9.48672499,0.02157362,-0.02748862,-0.0203783,9.48677506,0.01900813,0.02673496,-0.01989286,9.48623256
0,5.666666666666667,6.0,5.0,3.745604631992707,4.999460749279152,3.400537743454635,6.570124180446715,10.084204944485382,3.400091524854294,3.57245907889679,3.599713006539219,3.5331592194298036,2.1526474078510915,2.234039695614882,1.9898628787929646,5.0,5.0,5.0,3.5328295761555575,3.5328295761555575,3.5328295761555575,,,,3.5903689968169807,3.5903689968169807,3.5903689968169807,1.9898628787929653,1.9898628787929653,1.9898628787929653,5.454545454545454,6.0,5.0,3.5680675407936446,3.666474930867205,3.4000915248542944,7.489073128242532,12.843918601137641,3.3998314482713243,3.57922250570379,3.6220410187067027,3.532975096558773,2.100852330423505,2.234039695614882,1.9898628787929646,3.6666666666666665,4.0,3.0,2.4466283850520725,4.598272653517226,1.9629191054887107,6.999929171817848,12.991840321146757,1.9629191054887114,2.105452940598743,2.2342920312287293,1.962919105488711,2.8488845965916205,2.8613482630349782,2.823957306880285,1020,6.79964238,0.08457968,0.01411706,-3.47177283,5.8463494,0.04906747,-0.04930571,-0.24630836,24.77038977
0,6.0,6.0,6.0,3.229790506496543,3.3335290556109376,3.0933270775882513,3.2637519759333684,3.385667316348432,3.1078759651421812,,,,1.9687997779627406,1.9776066822055631,1.9524293953106902,6.0,6.0,6.0,3.2714433758825385,3.3857427664066937,3.214694701713893,3.2271072998768564,3.32725857494502,3.0932711027578836,,,,1.975496949057886,1.9776030301063148,1.9524293953106902,,,,,,,,,,,,,,,,4.0,4.0,4.0,2.006542285774454,3.8930061161682588,1.9270495486983266,2.314959569493103,3.964832405246966,1.9269015532148492,,,,2.742697143204133,2.7427117902597695,2.7426796024047295,1021,9.14170956,0.0281055,-0.0333583,-0.02750899,9.14124519,0.01989523,0.03273512,-0.02042195,9.14123718
0,6.0,6.0,6.0,,,,3.857069623729387,3.857069623729387,3.857069623729387,3.602442240268567,3.602442240268567,3.602442240268567,2.2053348722791157,2.2053348722791157,2.2053348722791157,6.0,6.0,6.0,6.342721054841819,8.828372485954251,3.8570696237293873,6.1092786105847345,6.109278610584735,6.1092786105847345,3.6069921147942834,3.6236611888903023,3.590323040698264,2.191312334914035,2.2053348722791166,2.1772897975489536,6.0,6.0,6.0,5.1194710952724565,7.208259134558762,3.3680245669738635,4.39632382469125,6.800150260951971,3.3679771032676338,3.6226318639452653,3.6730117168032876,3.5754210784177367,2.198564129034397,2.2053363174050298,2.177284117014828,4.0,4.0,4.0,4.784083639748555,6.742395181752528,2.1488476982958744,4.038934120921951,6.286597048538125,2.148847698295874,2.1988592230848516,2.2335839408955076,2.1776221614248548,3.0585392735957773,3.058543898423557,3.0585337589677186,1022,10.1941258,-0.0040206,0.00695756,0.00420478,10.19409221,0.00502767,-0.00708547,-0.00515389,10.19434325
0,6.0,6.0,6.0,3.235368570459488,3.2848702767399134,3.1989571250600224,3.4287848889067463,5.408260467546356,3.027635735116318,,,,1.9628117686620685,1.9719379517157547,1.9468348883715916,6.0,6.0,6.0,3.236571402301915,3.2767372506827472,3.189713426061558,3.245099350175208,3.288645035357772,3.2015560535398295,,,,1.9719298406812105,1.971937951715755,1.9719220533597885,,,,,,,,,,,,,,,,4.0,4.0,4.0,1.9603061061323954,1.9840474069700669,1.934066758243865,2.5764715484046676,4.681436681353891,1.9213575730058983,,,,2.734836193197243,2.734850518124008,2.734819173243853,1023,9.11552142,0.02846132,-0.03354672,-0.02793595,9.11500494,0.01982304,0.0329437,-0.02030547,9.11505918
